Component 74: area=55, xc=144, yc=145, xmin=139, xmax=150, ymin=136, ymax=154
Component 75: area=7, xc=197, yc=140, xmin=197, xmax=198, ymin=138, ymax=143
Component 76: area=3, xc=191, yc=143, xmin=191, xmax=191, ymin=142, ymax=144
Component 77: area=6, xc=246, yc=149, xmin=244, xmax=249, ymin=149, ymax=149
Component 78: area=4, xc=263, yc=149, xmin=262, xmax=265, ymin=149, ymax=149
Component 79: area=2, xc=167, yc=152, xmin=167, xmax=168, ymin=152, ymax=152
Component 80: area=613, xc=161, yc=166, xmin=148, xmax=175, ymin=153, ymax=180
Component 81: area=6, xc=234, yc=155, xmin=233, xmax=236, ymin=153, ymax=157
Component 82: area=607, xc=107, yc=168, xmin=94, xmax=121, ymin=154, ymax=182
Component 83: area=5, xc=128, yc=155, xmin=127, xmax=129, ymin=154, ymax=156
Component 84: area=765, xc=196, yc=168, xmin=182, xmax=211, ymin=154, ymax=183
Component 85: area=7, xc=76, yc=155, xmin=73, xmax=79, ymin=155, ymax=155
Component 86: area=499, xc=244, yc=169, xmin=232, xmax=257, ymin=156, ymax=183
Component 87: area=29, xc=137, yc=163, xmin=133, xmax=141, ymin=157, ymax=170
Component 88: area=7, xc=267, yc=158, xmin=265, xmax=270, ymin=158, ymax=159
Component 89: area=10, xc=217, yc=165, xmin=217, xmax=218, ymin=161, ymax=169
Component 90: area=7, xc=228, yc=163, xmin=227, xmax=229, ymin=161, ymax=166
Component 91: area=389, xc=78, yc=175, xmin=66, xmax=91, ymin=162, ymax=189
Component 92: area=9, xc=142, yc=169, xmin=141, xmax=143, ymin=165, ymax=173
Component 93: area=11, xc=129, yc=171, xmin=129, xmax=130, ymin=167, ymax=176
Component 94: area=2, xc=65, yc=174, xmin=65, xmax=66, ymin=174, ymax=174
Component 95: area=1, xc=91, yc=175, xmin=91, xmax=91, ymin=175, ymax=175
Component 96: area=4, xc=217, yc=176, xmin=217, xmax=218, ymin=175, ymax=177
Component 97: area=1, xc=232, yc=175, xmin=232, xmax=232, ymin=175, ymax=175
Component 98: area=7, xc=226, yc=178, xmin=226, xmax=227, ymin=176, ymax=181
Component 99: area=106, xc=47, yc=192, xmin=30, xmax=65, ymin=177, ymax=208
Component 100: area=176, xc=85, yc=190, xmin=40, xmax=130, ymin=177, ymax=203
Component 101: area=8, xc=99, yc=185, xmin=97, xmax=101, ymin=183, ymax=188
Component 102: area=7, xc=136, yc=187, xmin=134, xmax=138, ymin=185, ymax=189
Component 103: area=136, xc=166, yc=197, xmin=143, xmax=190, ymin=189, ymax=205
